date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:57	258/258	---M--	200	added ('OK')	image/png	etag:%22102-632a912f-c6a299d55d5f5537;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/icon/sign-up.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/icon/sign-up.png	(from https://weblearnbd.net/tphtml/ninico/sign-in.html)
17:13:58	18213/18213	---M--	200	added ('OK')	image/jpeg	etag:%224725-632a912f-9f3da46c507ff808;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-three/product-60.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-three/product-60.jpg	(from https://weblearnbd.net/tphtml/ninico/wishlist.html)
17:13:58	68029/68029	---M--	200	added ('OK')	image/jpeg	etag:%22109bd-632a912f-25fddb35a288b088;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-42.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-42.jpg	(from https://weblearnbd.net/tphtml/ninico/shop-2.html)
17:13:58	66195/66195	---M--	200	added ('OK')	image/jpeg	etag:%2210293-632a912f-6ec7f2a1d7623fa9;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-41.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-41.jpg	(from https://weblearnbd.net/tphtml/ninico/shop-2.html)
17:13:58	77954/77954	---M--	200	added ('OK')	image/jpeg	etag:%2213082-632a912f-5a7612eb399894b0;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-44.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-44.jpg	(from https://weblearnbd.net/tphtml/ninico/shop-2.html)
17:13:58	90107/90107	---M--	200	added ('OK')	image/jpeg	etag:%2215ffb-632a912f-3cfdef20cec09e44;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-43.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-43.jpg	(from https://weblearnbd.net/tphtml/ninico/shop-2.html)
17:13:59	210505/210505	---M--	200	added ('OK')	image/png	etag:%2233649-632a912f-3582388b7271c619;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/slider/slider-01.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/slider/slider-01.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:13:59	8686/8686	---M--	200	added ('OK')	image/png	etag:%2221ee-632a912f-ad7b03819874c6ad;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/slider/fasion-tag-01.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/slider/fasion-tag-01.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:13:59	179916/179916	---M--	200	added ('OK')	image/png	etag:%222becc-632a912f-3f27b26ade719bfe;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/slider/slider-02.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/slider/slider-02.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:00	4079/4079	---M--	200	added ('OK')	image/jpeg	etag:%22fef-632a912f-879aa9552deff1c;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/banner/banner-2-01.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/banner/banner-2-01.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
